datetime,Bus_volume
24-02-2020 08:35,16
24-02-2020 08:40,13
24-02-2020 08:45,20
24-02-2020 08:50,19
24-02-2020 08:55,14
24-02-2020 09:00,16
24-02-2020 09:05,22
24-02-2020 09:10,14
24-02-2020 09:15,15
24-02-2020 09:20,18
24-02-2020 09:25,21
24-02-2020 09:30,13
24-02-2020 09:35,14
24-02-2020 09:40,9
24-02-2020 09:45,19
24-02-2020 09:50,20
24-02-2020 09:55,19
24-02-2020 10:00,17
24-02-2020 10:05,23
24-02-2020 10:10,18
24-02-2020 10:15,18
24-02-2020 10:20,12
24-02-2020 10:25,22
24-02-2020 10:30,13
24-02-2020 10:35,16
24-02-2020 10:40,21
24-02-2020 10:45,17
24-02-2020 10:50,19
24-02-2020 10:55,30
24-02-2020 11:00,22
24-02-2020 16:35,21
24-02-2020 16:40,17
24-02-2020 16:45,18
24-02-2020 16:50,26
24-02-2020 16:55,12
24-02-2020 17:00,22
24-02-2020 17:05,18
24-02-2020 17:10,23
24-02-2020 17:15,16
24-02-2020 17:20,15
24-02-2020 17:25,13
24-02-2020 17:30,17
24-02-2020 17:35,17
24-02-2020 17:40,20
24-02-2020 17:45,13
24-02-2020 17:50,23
24-02-2020 17:55,10
24-02-2020 18:00,23
24-02-2020 18:05,21
24-02-2020 18:10,17
24-02-2020 18:15,19
24-02-2020 18:20,26
24-02-2020 18:25,22
24-02-2020 18:30,21
24-02-2020 18:35,5
24-02-2020 18:40,12
24-02-2020 18:45,11
24-02-2020 18:50,9
24-02-2020 18:55,16
24-02-2020 19:00,13
24-02-2020 08:35,21
24-02-2020 08:40,22
24-02-2020 08:45,20
24-02-2020 08:50,23
24-02-2020 08:55,11
24-02-2020 09:00,13
24-02-2020 09:05,14
24-02-2020 09:10,19
24-02-2020 09:15,20
24-02-2020 09:20,22
24-02-2020 09:25,11
24-02-2020 09:30,11
24-02-2020 09:35,16
24-02-2020 09:40,20
24-02-2020 09:45,19
24-02-2020 09:50,16
24-02-2020 09:55,14
24-02-2020 10:00,18
24-02-2020 10:05,17
24-02-2020 10:10,8
24-02-2020 10:15,26
24-02-2020 10:20,14
24-02-2020 10:25,16
24-02-2020 10:30,20
24-02-2020 10:35,18
24-02-2020 10:40,19
24-02-2020 10:45,16
24-02-2020 10:50,11
24-02-2020 10:55,13
24-02-2020 11:00,16
24-02-2020 16:35,10
24-02-2020 16:40,11
24-02-2020 16:45,14
24-02-2020 16:50,15
24-02-2020 16:55,23
24-02-2020 17:00,23
24-02-2020 17:05,18
24-02-2020 17:10,17
24-02-2020 17:15,21
24-02-2020 17:20,20
24-02-2020 17:25,10
24-02-2020 17:30,16
24-02-2020 17:35,16
24-02-2020 17:40,16
24-02-2020 17:45,13
24-02-2020 17:50,21
24-02-2020 17:55,10
24-02-2020 18:00,11
24-02-2020 18:05,18
24-02-2020 18:10,17
24-02-2020 18:15,23
24-02-2020 18:20,22
24-02-2020 18:25,18
24-02-2020 18:30,13
24-02-2020 18:35,8
24-02-2020 18:40,9
24-02-2020 18:45,7
24-02-2020 18:50,7
24-02-2020 18:55,10
24-02-2020 19:00,12
25-02-2020 08:35,19
25-02-2020 08:40,24
25-02-2020 08:45,16
25-02-2020 08:50,15
25-02-2020 08:55,15
25-02-2020 09:00,26
25-02-2020 09:05,13
25-02-2020 09:10,20
25-02-2020 09:15,11
25-02-2020 09:20,16
25-02-2020 09:25,28
25-02-2020 09:30,16
25-02-2020 09:35,22
25-02-2020 09:40,19
25-02-2020 09:45,22
25-02-2020 09:50,14
25-02-2020 09:55,23
25-02-2020 10:00,20
25-02-2020 10:05,18
25-02-2020 10:10,30
25-02-2020 10:15,19
25-02-2020 10:20,13
25-02-2020 10:25,16
25-02-2020 10:30,20
25-02-2020 10:35,23
25-02-2020 10:40,21
25-02-2020 10:45,24
25-02-2020 10:50,24
25-02-2020 10:55,30
25-02-2020 11:00,26
25-02-2020 16:35,23
25-02-2020 16:40,21
25-02-2020 16:45,20
25-02-2020 16:50,15
25-02-2020 16:55,19
25-02-2020 17:00,12
25-02-2020 17:05,19
25-02-2020 17:10,25
25-02-2020 17:15,18
25-02-2020 17:20,14
25-02-2020 17:25,20
25-02-2020 17:30,19
25-02-2020 17:35,19
25-02-2020 17:40,9
25-02-2020 17:45,15
25-02-2020 17:50,13
25-02-2020 17:55,10
25-02-2020 18:00,15
25-02-2020 18:05,19
25-02-2020 18:10,10
25-02-2020 18:15,24
25-02-2020 18:20,21
25-02-2020 18:25,16
25-02-2020 18:30,20
25-02-2020 18:35,18
25-02-2020 18:40,25
25-02-2020 18:45,22
25-02-2020 18:50,18
25-02-2020 18:55,12
25-02-2020 19:00,16
25-02-2020 08:35,19
25-02-2020 08:40,18
25-02-2020 08:45,16
25-02-2020 08:50,28
25-02-2020 08:55,15
25-02-2020 09:00,22
25-02-2020 09:05,21
25-02-2020 09:10,16
25-02-2020 09:15,19
25-02-2020 09:20,22
25-02-2020 09:25,17
25-02-2020 09:30,8
25-02-2020 09:35,26
25-02-2020 09:40,13
25-02-2020 09:45,15
25-02-2020 09:50,28
25-02-2020 09:55,20
25-02-2020 10:00,17
25-02-2020 10:05,20
25-02-2020 10:10,22
25-02-2020 10:15,10
25-02-2020 10:20,19
25-02-2020 10:25,17
25-02-2020 10:30,17
25-02-2020 10:35,15
25-02-2020 10:40,14
25-02-2020 10:45,21
25-02-2020 10:50,21
25-02-2020 10:55,17
25-02-2020 11:00,22
25-02-2020 16:35,22
25-02-2020 16:40,20
25-02-2020 16:45,21
25-02-2020 16:50,24
25-02-2020 16:55,18
25-02-2020 17:00,17
25-02-2020 17:05,12
25-02-2020 17:10,15
25-02-2020 17:15,12
25-02-2020 17:20,18
25-02-2020 17:25,21
25-02-2020 17:30,21
25-02-2020 17:35,17
25-02-2020 17:40,20
25-02-2020 17:45,15
25-02-2020 17:50,17
25-02-2020 17:55,14
25-02-2020 18:00,16
25-02-2020 18:05,19
25-02-2020 18:10,17
25-02-2020 18:15,29
25-02-2020 18:20,22
25-02-2020 18:25,10
25-02-2020 18:30,18
25-02-2020 18:35,17
25-02-2020 18:40,13
25-02-2020 18:45,15
25-02-2020 18:50,11
25-02-2020 18:55,20
25-02-2020 19:00,13
26-02-2020 08:35,17
26-02-2020 08:40,19
26-02-2020 08:45,12
26-02-2020 08:50,17
26-02-2020 08:55,16
26-02-2020 09:00,23
26-02-2020 09:05,17
26-02-2020 09:10,16
26-02-2020 09:15,15
26-02-2020 09:20,27
26-02-2020 09:25,14
26-02-2020 09:30,19
26-02-2020 09:35,15
26-02-2020 09:40,19
26-02-2020 09:45,15
26-02-2020 09:50,21
26-02-2020 09:55,21
26-02-2020 10:00,11
26-02-2020 10:05,13
26-02-2020 10:10,25
26-02-2020 10:15,17
26-02-2020 10:20,20
26-02-2020 10:25,14
26-02-2020 10:30,18
26-02-2020 10:35,17
26-02-2020 10:40,15
26-02-2020 10:45,19
26-02-2020 10:50,19
26-02-2020 10:55,25
26-02-2020 11:00,15
26-02-2020 16:35,17
26-02-2020 16:40,12
26-02-2020 16:45,18
26-02-2020 16:50,23
26-02-2020 16:55,15
26-02-2020 17:00,18
26-02-2020 17:05,24
26-02-2020 17:10,26
26-02-2020 17:15,16
26-02-2020 17:20,10
26-02-2020 17:25,19
26-02-2020 17:30,17
26-02-2020 17:35,17
26-02-2020 17:40,21
26-02-2020 17:45,14
26-02-2020 17:50,23
26-02-2020 17:55,21
26-02-2020 18:00,14
26-02-2020 18:05,20
26-02-2020 18:10,14
26-02-2020 18:15,12
26-02-2020 18:20,12
26-02-2020 18:25,15
26-02-2020 18:30,13
26-02-2020 18:35,11
26-02-2020 18:40,18
26-02-2020 18:45,16
26-02-2020 18:50,9
26-02-2020 18:55,17
26-02-2020 19:00,14
26-02-2020 08:35,24
26-02-2020 08:40,20
26-02-2020 08:45,13
26-02-2020 08:50,20
26-02-2020 08:55,15
26-02-2020 09:00,12
26-02-2020 09:05,17
26-02-2020 09:10,13
26-02-2020 09:15,14
26-02-2020 09:20,15
26-02-2020 09:25,11
26-02-2020 09:30,15
26-02-2020 09:35,17
26-02-2020 09:40,25
26-02-2020 09:45,16
26-02-2020 09:50,12
26-02-2020 09:55,8
26-02-2020 10:00,21
26-02-2020 10:05,15
26-02-2020 10:10,19
26-02-2020 10:15,13
26-02-2020 10:20,23
26-02-2020 10:25,29
26-02-2020 10:30,18
26-02-2020 10:35,13
26-02-2020 10:40,17
26-02-2020 10:45,18
26-02-2020 10:50,17
26-02-2020 10:55,14
26-02-2020 11:00,17
26-02-2020 16:35,16
26-02-2020 16:40,19
26-02-2020 16:45,21
26-02-2020 16:50,17
26-02-2020 16:55,12
26-02-2020 17:00,22
26-02-2020 17:05,18
26-02-2020 17:10,13
26-02-2020 17:15,13
26-02-2020 17:20,14
26-02-2020 17:25,20
26-02-2020 17:30,17
26-02-2020 17:35,14
26-02-2020 17:40,18
26-02-2020 17:45,21
26-02-2020 17:50,15
26-02-2020 17:55,17
26-02-2020 18:00,20
26-02-2020 18:05,15
26-02-2020 18:10,23
26-02-2020 18:15,19
26-02-2020 18:20,16
26-02-2020 18:25,10
26-02-2020 18:30,22
26-02-2020 18:35,20
26-02-2020 18:40,14
26-02-2020 18:45,16
26-02-2020 18:50,21
26-02-2020 18:55,21
26-02-2020 19:00,15
27-02-2020 08:35,16
27-02-2020 08:40,17
27-02-2020 08:45,20
27-02-2020 08:50,21
27-02-2020 08:55,16
27-02-2020 09:00,14
27-02-2020 09:05,17
27-02-2020 09:10,14
27-02-2020 09:15,18
27-02-2020 09:20,112
27-02-2020 09:25,20
27-02-2020 09:30,15
27-02-2020 09:35,20
27-02-2020 09:40,21
27-02-2020 09:45,18
27-02-2020 09:50,22
27-02-2020 09:55,18
27-02-2020 10:00,18
27-02-2020 10:05,19
27-02-2020 10:10,16
27-02-2020 10:15,15
27-02-2020 10:20,27
27-02-2020 10:25,23
27-02-2020 10:30,14
27-02-2020 10:35,15
27-02-2020 10:40,14
27-02-2020 10:45,15
27-02-2020 10:50,15
27-02-2020 10:55,16
27-02-2020 11:00,19
27-02-2020 16:35,17
27-02-2020 16:40,11
27-02-2020 16:45,17
27-02-2020 16:50,19
27-02-2020 16:55,21
27-02-2020 17:00,24
27-02-2020 17:05,17
27-02-2020 17:10,12
27-02-2020 17:15,15
27-02-2020 17:20,19
27-02-2020 17:25,21
27-02-2020 17:30,28
27-02-2020 17:35,14
27-02-2020 17:40,15
27-02-2020 17:45,20
27-02-2020 17:50,14
27-02-2020 17:55,28
27-02-2020 18:00,16
27-02-2020 18:05,18
27-02-2020 18:10,18
27-02-2020 18:15,19
27-02-2020 18:20,16
27-02-2020 18:25,26
27-02-2020 18:30,17
27-02-2020 18:35,14
27-02-2020 18:40,14
27-02-2020 18:45,12
27-02-2020 18:50,21
27-02-2020 18:55,16
27-02-2020 19:00,13
27-02-2020 08:35,18
27-02-2020 08:40,13
27-02-2020 08:45,24
27-02-2020 08:50,22
27-02-2020 08:55,29
27-02-2020 09:00,13
27-02-2020 09:05,27
27-02-2020 09:10,9
27-02-2020 09:15,17
27-02-2020 09:20,21
27-02-2020 09:25,18
27-02-2020 09:30,20
27-02-2020 09:35,15
27-02-2020 09:40,13
27-02-2020 09:45,14
27-02-2020 09:50,27
27-02-2020 09:55,17
27-02-2020 10:00,14
27-02-2020 10:05,11
27-02-2020 10:10,15
27-02-2020 10:15,22
27-02-2020 10:20,18
27-02-2020 10:25,22
27-02-2020 10:30,22
27-02-2020 10:35,20
27-02-2020 10:40,19
27-02-2020 10:45,20
27-02-2020 10:50,22
27-02-2020 10:55,23
27-02-2020 11:00,22
27-02-2020 16:35,18
27-02-2020 16:40,22
27-02-2020 16:45,12
27-02-2020 16:50,22
27-02-2020 16:55,12
27-02-2020 17:00,17
27-02-2020 17:05,15
27-02-2020 17:10,26
27-02-2020 17:15,23
27-02-2020 17:20,14
27-02-2020 17:25,14
27-02-2020 17:30,19
27-02-2020 17:35,13
27-02-2020 17:40,19
27-02-2020 17:45,14
27-02-2020 17:50,11
27-02-2020 17:55,16
27-02-2020 18:00,21
27-02-2020 18:05,23
27-02-2020 18:10,14
27-02-2020 18:15,23
27-02-2020 18:20,15
27-02-2020 18:25,24
27-02-2020 18:30,18
27-02-2020 18:35,15
27-02-2020 18:40,12
27-02-2020 18:45,18
27-02-2020 18:50,8
27-02-2020 18:55,8
27-02-2020 19:00,7
28-02-2020 08:35,26
28-02-2020 08:40,18
28-02-2020 08:45,20
28-02-2020 08:50,12
28-02-2020 08:55,12
28-02-2020 09:00,18
28-02-2020 09:05,18
28-02-2020 09:10,16
28-02-2020 09:15,13
28-02-2020 09:20,14
28-02-2020 09:25,28
28-02-2020 09:30,16
28-02-2020 09:35,15
28-02-2020 09:40,20
28-02-2020 09:45,22
28-02-2020 09:50,23
28-02-2020 09:55,18
28-02-2020 10:00,22
28-02-2020 10:05,24
28-02-2020 10:10,25
28-02-2020 10:15,13
28-02-2020 10:20,19
28-02-2020 10:25,19
28-02-2020 10:30,15
28-02-2020 10:35,16
28-02-2020 10:40,19
28-02-2020 10:45,27
28-02-2020 10:50,24
28-02-2020 10:55,18
28-02-2020 11:00,19
28-02-2020 16:35,18
28-02-2020 16:40,15
28-02-2020 16:45,15
28-02-2020 16:50,14
28-02-2020 16:55,16
28-02-2020 17:00,18
28-02-2020 17:05,21
28-02-2020 17:10,17
28-02-2020 17:15,19
28-02-2020 17:20,16
28-02-2020 17:25,19
28-02-2020 17:30,14
28-02-2020 17:35,26
28-02-2020 17:40,15
28-02-2020 17:45,12
28-02-2020 17:50,16
28-02-2020 17:55,11
28-02-2020 18:00,12
28-02-2020 18:05,16
28-02-2020 18:10,17
28-02-2020 18:15,15
28-02-2020 18:20,12
28-02-2020 18:25,18
28-02-2020 18:30,14
28-02-2020 18:35,17
28-02-2020 18:40,16
28-02-2020 18:45,16
28-02-2020 18:50,9
28-02-2020 18:55,14
28-02-2020 19:00,9
28-02-2020 08:35,23
28-02-2020 08:40,18
28-02-2020 08:45,18
28-02-2020 08:50,27
28-02-2020 08:55,23
28-02-2020 09:00,32
28-02-2020 09:05,10
28-02-2020 09:10,20
28-02-2020 09:15,22
28-02-2020 09:20,15
28-02-2020 09:25,21
28-02-2020 09:30,20
28-02-2020 09:35,10
28-02-2020 09:40,18
28-02-2020 09:45,22
28-02-2020 09:50,20
28-02-2020 09:55,26
28-02-2020 10:00,13
28-02-2020 10:05,15
28-02-2020 10:10,16
28-02-2020 10:15,15
28-02-2020 10:20,18
28-02-2020 10:25,21
28-02-2020 10:30,15
28-02-2020 10:35,20
28-02-2020 10:40,20
28-02-2020 10:45,21
28-02-2020 10:50,28
28-02-2020 10:55,20
28-02-2020 11:00,21
28-02-2020 16:35,11
28-02-2020 16:40,11
28-02-2020 16:45,17
28-02-2020 16:50,12
28-02-2020 16:55,17
28-02-2020 17:00,17
28-02-2020 17:05,33
28-02-2020 17:10,39
28-02-2020 17:15,25
28-02-2020 17:20,20
28-02-2020 17:25,20
28-02-2020 17:30,26
28-02-2020 17:35,19
28-02-2020 17:40,19
28-02-2020 17:45,15
28-02-2020 17:50,17
28-02-2020 17:55,26
28-02-2020 18:00,12
28-02-2020 18:05,15
28-02-2020 18:10,23
28-02-2020 18:15,18
28-02-2020 18:20,23
28-02-2020 18:25,17
28-02-2020 18:30,19
28-02-2020 18:35,9
28-02-2020 18:40,17
28-02-2020 18:45,16
28-02-2020 18:50,21
28-02-2020 18:55,16
28-02-2020 19:00,11
