datetime,Cyc_speed
24-02-2020 08:35,9.03
24-02-2020 08:40,15.06
24-02-2020 08:45,13.87
24-02-2020 08:50,9.12
24-02-2020 08:55,14.29
24-02-2020 09:00,12.98
24-02-2020 09:05,16.07
24-02-2020 09:10,14.52
24-02-2020 09:15,12.09
24-02-2020 09:20,16.46
24-02-2020 09:25,8.68
24-02-2020 09:30,10.63
24-02-2020 09:35,13.46
24-02-2020 09:40,7.96
24-02-2020 09:45,9.48
24-02-2020 09:50,9.88
24-02-2020 09:55,14.71
24-02-2020 10:00,14.71
24-02-2020 10:05,10.98
24-02-2020 10:10,12.13
24-02-2020 10:15,11.49
24-02-2020 10:20,12.78
24-02-2020 10:25,13.57
24-02-2020 10:30,9.57
24-02-2020 10:35,12.62
24-02-2020 10:40,9.44
24-02-2020 10:45,7.85
24-02-2020 10:50,7.85
24-02-2020 10:55,6.31
24-02-2020 11:00,15.88
24-02-2020 16:35,12.5
24-02-2020 16:40,12.5
24-02-2020 16:45,12.5
24-02-2020 16:50,12.5
24-02-2020 16:55,12.5
24-02-2020 17:00,12.5
24-02-2020 17:05,12.939
24-02-2020 17:10,12.939
24-02-2020 17:15,11.111
24-02-2020 17:20,11.538
24-02-2020 17:25,9.122
24-02-2020 17:30,12.857
24-02-2020 17:35,12.981
24-02-2020 17:40,12.981
24-02-2020 17:45,12.981
24-02-2020 17:50,14.674
24-02-2020 17:55,13.043
24-02-2020 18:00,13.043
24-02-2020 18:05,14.516
24-02-2020 18:10,20.149
24-02-2020 18:15,16.2
24-02-2020 18:20,17.089
24-02-2020 18:25,12.5
24-02-2020 18:30,12.5
24-02-2020 18:35,15.517
24-02-2020 18:40,19.853
24-02-2020 18:45,16.071
24-02-2020 18:50,15.698
24-02-2020 18:55,19.853
24-02-2020 19:00,11.842
24-02-2020 08:35,13.579
24-02-2020 08:40,13.248
24-02-2020 08:45,15.836
24-02-2020 08:50,13.556
24-02-2020 08:55,17.197
24-02-2020 09:00,17.763
24-02-2020 09:05,15.237
24-02-2020 09:10,12.04
24-02-2020 09:15,16.135
24-02-2020 09:20,13.317
24-02-2020 09:25,15.906
24-02-2020 09:30,13.678
24-02-2020 09:35,14.784
24-02-2020 09:40,16.187
24-02-2020 09:45,15.78
24-02-2020 09:50,11.655
24-02-2020 09:55,13.466
24-02-2020 10:00,15.147
24-02-2020 10:05,11.825
24-02-2020 10:10,13.929
24-02-2020 10:15,20.611
24-02-2020 10:20,20.93
24-02-2020 10:25,15.169
24-02-2020 10:30,13.636
24-02-2020 10:35,16.413
24-02-2020 10:40,13.091
24-02-2020 10:45,14.876
24-02-2020 10:50,10.537
24-02-2020 10:55,12.639
24-02-2020 11:00,16.59
24-02-2020 16:35,11.227
24-02-2020 16:40,11.227
24-02-2020 16:45,12.442
24-02-2020 16:50,16.796
24-02-2020 16:55,14.026
24-02-2020 17:00,15.584
24-02-2020 17:05,14.795
24-02-2020 17:10,13.981
24-02-2020 17:15,20.849
24-02-2020 17:20,9.854
24-02-2020 17:25,12.047
24-02-2020 17:30,16.265
24-02-2020 17:35,17.51
24-02-2020 17:40,10.946
24-02-2020 17:45,11.266
24-02-2020 17:50,16.083
24-02-2020 17:55,15.713
24-02-2020 18:00,15.713
24-02-2020 18:05,13.961
24-02-2020 18:10,13.882
24-02-2020 18:15,15.675
24-02-2020 18:20,13.379
24-02-2020 18:25,13.049
24-02-2020 18:30,13.333
24-02-2020 18:35,12.856
24-02-2020 18:40,12.758
24-02-2020 18:45,13.916
24-02-2020 18:50,13.712
24-02-2020 18:55,14.265
24-02-2020 19:00,15.508
25-02-2020 08:35,10.602
25-02-2020 08:40,9.247
25-02-2020 08:45,12.442
25-02-2020 08:50,12.19
25-02-2020 08:55,11.842
25-02-2020 09:00,14.674
25-02-2020 09:05,11.947
25-02-2020 09:10,13.99
25-02-2020 09:15,11.035
25-02-2020 09:20,11.605
25-02-2020 09:25,14.835
25-02-2020 09:30,14.835
25-02-2020 09:35,11.605
25-02-2020 09:40,11.638
25-02-2020 09:45,12.796
25-02-2020 09:50,13.846
25-02-2020 09:55,9.122
25-02-2020 10:00,13.918
25-02-2020 10:05,13.107
25-02-2020 10:10,12.981
25-02-2020 10:15,9.552
25-02-2020 10:20,11.043
25-02-2020 10:25,11.473
25-02-2020 10:30,12.108
25-02-2020 10:35,9.441
25-02-2020 10:40,16.071
25-02-2020 10:45,12.5
25-02-2020 10:50,10.672
25-02-2020 10:55,12.857
25-02-2020 11:00,12
25-02-2020 16:35,10.075
25-02-2020 16:40,10.075
25-02-2020 16:45,10.075
25-02-2020 16:50,10.075
25-02-2020 16:55,7.068
25-02-2020 17:00,13.043
25-02-2020 17:05,9.184
25-02-2020 17:10,12.981
25-02-2020 17:15,13.619
25-02-2020 17:20,10.405
25-02-2020 17:25,11.313
25-02-2020 17:30,12.981
25-02-2020 17:35,14.439
25-02-2020 17:40,12.5
25-02-2020 17:45,10.887
25-02-2020 17:50,11.066
25-02-2020 17:55,9.184
25-02-2020 18:00,9.184
25-02-2020 18:05,12.217
25-02-2020 18:10,9.951
25-02-2020 18:15,9.89
25-02-2020 18:20,12.31
25-02-2020 18:25,12.617
25-02-2020 18:30,6.959
25-02-2020 18:35,7.552
25-02-2020 18:40,6.995
25-02-2020 18:45,9.643
25-02-2020 18:50,10.858
25-02-2020 18:55,9.609
25-02-2020 19:00,14.362
25-02-2020 08:35,14.958
25-02-2020 08:40,14.173
25-02-2020 08:45,11.714
25-02-2020 08:50,17.197
25-02-2020 08:55,13.671
25-02-2020 09:00,13.333
25-02-2020 09:05,11.921
25-02-2020 09:10,14.136
25-02-2020 09:15,10.445
25-02-2020 09:20,12.162
25-02-2020 09:25,13.043
25-02-2020 09:30,15.789
25-02-2020 09:35,11.043
25-02-2020 09:40,10.247
25-02-2020 09:45,13.671
25-02-2020 09:50,14.211
25-02-2020 09:55,19.636
25-02-2020 10:00,15.084
25-02-2020 10:05,13.953
25-02-2020 10:10,14.136
25-02-2020 10:15,7.287
25-02-2020 10:20,12.676
25-02-2020 10:25,11.868
25-02-2020 10:30,14.286
25-02-2020 10:35,14.286
25-02-2020 10:40,13.171
25-02-2020 10:45,20.93
25-02-2020 10:50,12.273
25-02-2020 10:55,21.176
25-02-2020 11:00,17.647
25-02-2020 16:35,23.581
25-02-2020 16:40,12.329
25-02-2020 16:45,32.335
25-02-2020 16:50,13.918
25-02-2020 16:55,18.06
25-02-2020 17:00,14.714
25-02-2020 17:05,12.329
25-02-2020 17:10,12.919
25-02-2020 17:15,12.676
25-02-2020 17:20,14.477
25-02-2020 17:25,13.882
25-02-2020 17:30,13.4
25-02-2020 17:35,13.882
25-02-2020 17:40,14.4
25-02-2020 17:45,14.286
25-02-2020 17:50,13.568
25-02-2020 17:55,13.882
25-02-2020 18:00,11.441
25-02-2020 18:05,13.568
25-02-2020 18:10,12.217
25-02-2020 18:15,14.477
25-02-2020 18:20,12.617
25-02-2020 18:25,14.248
25-02-2020 18:30,13.5
25-02-2020 18:35,10.931
25-02-2020 18:40,13.333
25-02-2020 18:45,15.126
25-02-2020 18:50,14.4
25-02-2020 18:55,10.247
25-02-2020 19:00,13.043
26-02-2020 08:35,9.485
26-02-2020 08:40,12.273
26-02-2020 08:45,16.564
26-02-2020 08:50,10.112
26-02-2020 08:55,10.843
26-02-2020 09:00,11.947
26-02-2020 09:05,11.538
26-02-2020 09:10,12.329
26-02-2020 09:15,12.919
26-02-2020 09:20,10.305
26-02-2020 09:25,13.235
26-02-2020 09:30,12.054
26-02-2020 09:35,12.617
26-02-2020 09:40,13.366
26-02-2020 09:45,13.366
26-02-2020 09:50,13.636
26-02-2020 09:55,10.976
26-02-2020 10:00,10.305
26-02-2020 10:05,10.15
26-02-2020 10:10,14.136
26-02-2020 10:15,11.563
26-02-2020 10:20,10.757
26-02-2020 10:25,16.875
26-02-2020 10:30,14.261
26-02-2020 10:35,13.171
26-02-2020 10:40,7.337
26-02-2020 10:45,11.489
26-02-2020 10:50,12.857
26-02-2020 10:55,12.385
26-02-2020 11:00,12.199
26-02-2020 16:35,13.918
26-02-2020 16:40,13.3
26-02-2020 16:45,10.714
26-02-2020 16:50,13.846
26-02-2020 16:55,16.875
26-02-2020 17:00,11.441
26-02-2020 17:05,15
26-02-2020 17:10,13.636
26-02-2020 17:15,12.736
26-02-2020 17:20,12.736
26-02-2020 17:25,12.273
26-02-2020 17:30,14.674
26-02-2020 17:35,14.674
26-02-2020 17:40,12.273
26-02-2020 17:45,12.5
26-02-2020 17:50,16.463
26-02-2020 17:55,16.463
26-02-2020 18:00,8.71
26-02-2020 18:05,13.706
26-02-2020 18:10,9.818
26-02-2020 18:15,13.776
26-02-2020 18:20,15.698
26-02-2020 18:25,12.329
26-02-2020 18:30,12.054
26-02-2020 18:35,12.054
26-02-2020 18:40,13.411
26-02-2020 18:45,14.835
26-02-2020 18:50,14.835
26-02-2020 18:55,12.5
26-02-2020 19:00,11.538
26-02-2020 08:35,13.203
26-02-2020 08:40,13.012
26-02-2020 08:45,16.564
26-02-2020 08:50,14.754
26-02-2020 08:55,17.647
26-02-2020 09:00,14.634
26-02-2020 09:05,9.926
26-02-2020 09:10,20.69
26-02-2020 09:15,9.609
26-02-2020 09:20,11.79
26-02-2020 09:25,14.099
26-02-2020 09:30,17.763
26-02-2020 09:35,14.674
26-02-2020 09:40,13.918
26-02-2020 09:45,11.368
26-02-2020 09:50,15.126
26-02-2020 09:55,13.5
26-02-2020 10:00,11.765
26-02-2020 10:05,11.538
26-02-2020 10:10,15.652
26-02-2020 10:15,15.652
26-02-2020 10:20,12.558
26-02-2020 10:25,8.94
26-02-2020 10:30,16.413
26-02-2020 10:35,15.652
26-02-2020 10:40,13.776
26-02-2020 10:45,14.026
26-02-2020 10:50,16.265
26-02-2020 10:55,13.235
26-02-2020 11:00,13.235
26-02-2020 16:35,15.429
26-02-2020 16:40,12
26-02-2020 16:45,12
26-02-2020 16:50,11.321
26-02-2020 16:55,11.739
26-02-2020 17:00,12.796
26-02-2020 17:05,12.162
26-02-2020 17:10,12.981
26-02-2020 17:15,15.169
26-02-2020 17:20,12.646
26-02-2020 17:25,12.796
26-02-2020 17:30,10.169
26-02-2020 17:35,12.888
26-02-2020 17:40,15.607
26-02-2020 17:45,14.173
26-02-2020 17:50,13.811
26-02-2020 17:55,15.743
26-02-2020 18:00,13.74
26-02-2020 18:05,14.958
26-02-2020 18:10,11.588
26-02-2020 18:15,11.947
26-02-2020 18:20,13.706
26-02-2020 18:25,12.888
26-02-2020 18:30,13.534
26-02-2020 18:35,8.882
26-02-2020 18:40,9.854
26-02-2020 18:45,14.4
26-02-2020 18:50,12.981
26-02-2020 18:55,9.963
26-02-2020 19:00,16.119
27-02-2020 08:35,17.382
27-02-2020 08:40,15.976
27-02-2020 08:45,18.75
27-02-2020 08:50,15.341
27-02-2020 08:55,19.286
27-02-2020 09:00,12.898
27-02-2020 09:05,15.226
27-02-2020 09:10,13.107
27-02-2020 09:15,12.981
27-02-2020 09:20,13.918
27-02-2020 09:25,10.438
27-02-2020 09:30,14.754
27-02-2020 09:35,16.397
27-02-2020 09:40,10.189
27-02-2020 09:45,13.636
27-02-2020 09:50,13.776
27-02-2020 09:55,12.736
27-02-2020 10:00,10.858
27-02-2020 10:05,15.82
27-02-2020 10:10,14.516
27-02-2020 10:15,9.122
27-02-2020 10:20,15.517
27-02-2020 10:25,14.464
27-02-2020 10:30,17.881
27-02-2020 10:35,12.162
27-02-2020 10:40,12.217
27-02-2020 10:45,9.419
27-02-2020 10:50,15.882
27-02-2020 10:55,15.882
27-02-2020 11:00,6.876
27-02-2020 16:35,21.302
27-02-2020 16:40,21.302
27-02-2020 16:45,11.313
27-02-2020 16:50,13.545
27-02-2020 16:55,10.8
27-02-2020 17:00,16.718
27-02-2020 17:05,12.385
27-02-2020 17:10,13.187
27-02-2020 17:15,14.063
27-02-2020 17:20,8.133
27-02-2020 17:25,14.236
27-02-2020 17:30,11.638
27-02-2020 17:35,11.441
27-02-2020 17:40,13.729
27-02-2020 17:45,11.345
27-02-2020 17:50,9.818
27-02-2020 17:55,10.506
27-02-2020 18:00,16.135
27-02-2020 18:05,18.75
27-02-2020 18:10,16.309
27-02-2020 18:15,12.939
27-02-2020 18:20,12.939
27-02-2020 18:25,12.939
27-02-2020 18:30,12.939
27-02-2020 18:35,11.739
27-02-2020 18:40,15.607
27-02-2020 18:45,16.875
27-02-2020 18:50,14.516
27-02-2020 18:55,14.516
27-02-2020 19:00,14.674
27-02-2020 08:35,15.52
27-02-2020 08:40,18.24
27-02-2020 08:45,18.24
27-02-2020 08:50,18.24
27-02-2020 08:55,9.82
27-02-2020 09:00,15.93
27-02-2020 09:05,16.74
27-02-2020 09:10,16.74
27-02-2020 09:15,14.52
27-02-2020 09:20,17.53
27-02-2020 09:25,17.53
27-02-2020 09:30,21.09
27-02-2020 09:35,21.09
27-02-2020 09:40,13.59
27-02-2020 09:45,11.84
27-02-2020 09:50,11.44
27-02-2020 09:55,11.44
27-02-2020 10:00,14.84
27-02-2020 10:05,13.78
27-02-2020 10:10,13.78
27-02-2020 10:15,13.24
27-02-2020 10:20,13.24
27-02-2020 10:25,12.74
27-02-2020 10:30,8.92
27-02-2020 10:35,20.15
27-02-2020 10:40,16.07
27-02-2020 10:45,14.14
27-02-2020 10:50,14.14
27-02-2020 10:55,9
27-02-2020 11:00,12.86
27-02-2020 16:35,10.8
27-02-2020 16:40,18.24
27-02-2020 16:45,11.84
27-02-2020 16:50,24.55
27-02-2020 16:55,13.04
27-02-2020 17:00,14.67
27-02-2020 17:05,14.94
27-02-2020 17:10,13.92
27-02-2020 17:15,15.25
27-02-2020 17:20,15.58
27-02-2020 17:25,14.62
27-02-2020 17:30,14.23
27-02-2020 17:35,16.4
27-02-2020 17:40,13.64
27-02-2020 17:45,14.21
27-02-2020 17:50,13.3
27-02-2020 17:55,14.57
27-02-2020 18:00,14.59
27-02-2020 18:05,16.88
27-02-2020 18:10,14.59
27-02-2020 18:15,13.99
27-02-2020 18:20,10.38
27-02-2020 18:25,10.51
27-02-2020 18:30,13.02
27-02-2020 18:35,11.44
27-02-2020 18:40,10.89
27-02-2020 18:45,18.62
27-02-2020 18:50,18.62
27-02-2020 18:55,17.88
27-02-2020 19:00,16.77
28-02-2020 08:35,13.776
28-02-2020 08:40,15.458
28-02-2020 08:45,10.425
28-02-2020 08:50,11.538
28-02-2020 08:55,14.063
28-02-2020 09:00,14.026
28-02-2020 09:05,16.531
28-02-2020 09:10,12.796
28-02-2020 09:15,12.162
28-02-2020 09:20,13.433
28-02-2020 09:25,16.463
28-02-2020 09:30,12.617
28-02-2020 09:35,13.723
28-02-2020 09:40,17.089
28-02-2020 09:45,12.5
28-02-2020 09:50,16.667
28-02-2020 09:55,16.667
28-02-2020 10:00,17.197
28-02-2020 10:05,17.197
28-02-2020 10:10,17.197
28-02-2020 10:15,13.706
28-02-2020 10:20,14.063
28-02-2020 10:25,13.433
28-02-2020 10:30,13.433
28-02-2020 10:35,14.362
28-02-2020 10:40,13.279
28-02-2020 10:45,12.736
28-02-2020 10:50,10.425
28-02-2020 10:55,10.15
28-02-2020 11:00,16.463
28-02-2020 16:35,15.341
28-02-2020 16:40,11.25
28-02-2020 16:45,11.538
28-02-2020 16:50,11.538
28-02-2020 16:55,9
28-02-2020 17:00,10.609
28-02-2020 17:05,17.308
28-02-2020 17:10,7.297
28-02-2020 17:15,14.516
28-02-2020 17:20,10.658
28-02-2020 17:25,10.658
28-02-2020 17:30,11.134
28-02-2020 17:35,13.235
28-02-2020 17:40,12.617
28-02-2020 17:45,12.617
28-02-2020 17:50,11.947
28-02-2020 17:55,15.084
28-02-2020 18:00,12
28-02-2020 18:05,12
28-02-2020 18:10,13.729
28-02-2020 18:15,17.532
28-02-2020 18:20,11.066
28-02-2020 18:25,13.411
28-02-2020 18:30,11.947
28-02-2020 18:35,11.538
28-02-2020 18:40,13.671
28-02-2020 18:45,13.918
28-02-2020 18:50,13.918
28-02-2020 18:55,13.918
28-02-2020 19:00,14.136
28-02-2020 08:35,17.763
28-02-2020 08:40,10.425
28-02-2020 08:45,15.698
28-02-2020 08:50,12.217
28-02-2020 08:55,12.217
28-02-2020 09:00,13.918
28-02-2020 09:05,19.286
28-02-2020 09:10,13.171
28-02-2020 09:15,15.063
28-02-2020 09:20,15.063
28-02-2020 09:25,13.602
28-02-2020 09:30,18
28-02-2020 09:35,13.776
28-02-2020 09:40,11.638
28-02-2020 09:45,12.5
28-02-2020 09:50,12.5
28-02-2020 09:55,14.136
28-02-2020 10:00,14.136
28-02-2020 10:05,13.149
28-02-2020 10:10,10.547
28-02-2020 10:15,11.02
28-02-2020 10:20,13.918
28-02-2020 10:25,12.558
28-02-2020 10:30,15.169
28-02-2020 10:35,9.31
28-02-2020 10:40,13.591
28-02-2020 10:45,13.591
28-02-2020 10:50,13.591
28-02-2020 10:55,9.507
28-02-2020 11:00,10.887
28-02-2020 16:35,2.657
28-02-2020 16:40,2.657
28-02-2020 16:45,2.657
28-02-2020 16:50,2.657
28-02-2020 16:55,11.538
28-02-2020 17:00,12.5
28-02-2020 17:05,12.5
28-02-2020 17:10,14.063
28-02-2020 17:15,14.063
28-02-2020 17:20,13.636
28-02-2020 17:25,14.674
28-02-2020 17:30,13.682
28-02-2020 17:35,14.211
28-02-2020 17:40,14.595
28-02-2020 17:45,12.676
28-02-2020 17:50,12.676
28-02-2020 17:55,15.254
28-02-2020 18:00,13.811
28-02-2020 18:05,13.568
28-02-2020 18:10,11.739
28-02-2020 18:15,13.5
28-02-2020 18:20,15.698
28-02-2020 18:25,11.739
28-02-2020 18:30,13.235
28-02-2020 18:35,18.664
28-02-2020 18:40,17.476
28-02-2020 18:45,12.736
28-02-2020 18:50,17.089
28-02-2020 18:55,17.089
28-02-2020 19:00,9.31
